atlas1_region,atlas2_region,n_voxels_overlap,fractional_region_overlap,atlas1_name,atlas2_name
1,17,5770,0.935776841,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
2,7,6907,0.939472252,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
3,16,6305,0.862163271,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
4,13,5191,0.883875362,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
5,17,5322,0.876771005,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
6,17,6353,0.895040857,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
7,6,4983,0.955696203,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
8,6,4992,0.941176471,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
9,7,5583,0.917803715,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
10,3,5378,0.924849527,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
11,17,5068,0.928545255,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
12,13,6786,0.949888018,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
13,16,7415,0.876788459,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
14,16,6881,0.919550982,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
15,8,8015,0.914641105,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
16,8,7573,0.924664225,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
17,12,6103,0.938201384,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
18,13,4556,0.938800742,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
19,13,6061,0.945996566,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
20,13,7866,0.96231955,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
21,12,7711,0.964598449,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
22,8,7335,0.963863338,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
23,13,7041,0.899923313,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
24,13,5981,0.929737292,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
25,6,4757,0.953497695,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
26,13,4682,0.963374486,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
27,13,6184,0.945565749,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
28,13,7778,0.943588499,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
29,12,2551,0.984561945,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
30,12,2816,0.977099237,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
